cwe_id,year,cve_count,pct_of_year,yoy_growth_pct
CWE-1241,2023,1,0.0,
CWE-1241,2026,4,0.01,300.0
CWE-1242,2024,4,0.01,
CWE-1242,2025,5,0.01,25.0
CWE-1242,2026,4,0.01,-20.0
CWE-1244,2025,7,0.01,
CWE-1244,2026,2,0.0,-71.4
CWE-1245,2024,2,0.0,
CWE-1245,2025,2,0.0,0.0
CWE-1245,2026,1,0.0,-50.0
CWE-1246,2024,1,0.0,
CWE-1247,2024,1,0.0,
CWE-1247,2025,1,0.0,0.0
CWE-1247,2026,1,0.0,0.0
CWE-125,2004,6,0.24,
CWE-125,2007,1,0.02,-83.3
CWE-125,2009,1,0.02,0.0
CWE-125,2010,1,0.02,0.0
CWE-125,2011,25,0.6,2400.0
CWE-125,2012,16,0.3,-36.0
CWE-125,2013,4,0.08,-75.0
CWE-125,2014,9,0.11,125.0
CWE-125,2015,4,0.06,-55.6
CWE-125,2016,85,1.3,2025.0
CWE-125,2017,703,3.88,727.1
CWE-125,2018,755,4.16,7.4
CWE-125,2019,896,4.73,18.7
CWE-125,2020,647,3.37,-27.8
CWE-125,2021,706,3.22,9.1
CWE-125,2022,826,3.13,17.0
CWE-125,2023,884,2.86,7.0
CWE-125,2024,1098,2.7,24.2
CWE-125,2025,933,1.87,-15.0
CWE-125,2026,1495,2.26,60.2
CWE-1250,2025,2,0.0,
CWE-1250,2026,1,0.0,-50.0
CWE-1251,2024,1,0.0,
CWE-1254,2025,1,0.0,
CWE-1254,2026,2,0.0,100.0
CWE-1255,2024,1,0.0,
CWE-1255,2025,1,0.0,0.0
CWE-1256,2025,2,0.0,
CWE-1256,2026,2,0.0,0.0
CWE-1257,2025,2,0.0,
CWE-1258,2022,1,0.0,
CWE-1258,2024,2,0.0,100.0
CWE-1258,2025,1,0.0,-50.0
CWE-1258,2026,7,0.01,600.0
CWE-1259,2024,2,0.0,
CWE-1259,2025,7,0.01,250.0
CWE-1259,2026,3,0.0,-57.1
CWE-126,2021,2,0.01,
CWE-126,2023,3,0.01,50.0
CWE-126,2024,11,0.03,266.7
CWE-126,2025,80,0.16,627.3
CWE-126,2026,107,0.16,33.8
CWE-1260,2024,1,0.0,
CWE-1260,2025,2,0.0,100.0
CWE-1260,2026,12,0.02,500.0
CWE-1262,2024,1,0.0,
CWE-1262,2025,3,0.01,200.0
CWE-1262,2026,3,0.0,0.0
CWE-1263,2023,3,0.01,
CWE-1263,2024,4,0.01,33.3
CWE-1263,2025,1,0.0,-75.0
CWE-1263,2026,2,0.0,100.0
CWE-1264,2024,1,0.0,
CWE-1268,2026,1,0.0,
CWE-127,2025,3,0.01,
CWE-127,2026,2,0.0,-33.3
CWE-1270,2023,1,0.0,
CWE-1270,2024,1,0.0,0.0
CWE-1270,2025,1,0.0,0.0
CWE-1270,2026,3,0.0,200.0
CWE-1274,2023,2,0.01,
CWE-1274,2025,4,0.01,100.0
CWE-1274,2026,2,0.0,-50.0
