cwe_id,feature_year,current_centrality,actual_next_centrality,predicted_next_centrality,naive_predicted_next_centrality
CWE-15,2025,0.0008887321081454402,0.0016830860571146466,0.009870296357739897,0.0008887321081454402
CWE-20,2025,0.14252781600427736,0.0886501438824752,0.13193283761488922,0.14252781600427736
CWE-22,2025,0.029289766921404673,0.05640506436791916,0.041253469387285795,0.029289766921404673
CWE-23,2025,0.013112878909604362,0.021225227220334365,0.022526143293278168,0.013112878909604362
CWE-24,2025,0.0009727179454566057,0.0008678015228166667,0.009870296357739897,0.0009727179454566057
CWE-29,2025,0.00024128668636452834,0.0003322801987167068,0.009870296357739897,0.00024128668636452834
CWE-35,2025,0.0012355706245160782,0.009576290769160278,0.009870296357739897,0.0012355706245160782
CWE-36,2025,0.00045763616461795466,0.01758849234819504,0.009870296357739897,0.00045763616461795466
CWE-41,2025,0.010573753301029788,0.01801012666377962,0.02095099011073399,0.010573753301029788
CWE-59,2025,0.017108582649925853,0.03385286318824356,0.023822407034203016,0.017108582649925853
CWE-61,2025,0.0006107192271857022,0.004355428894320616,0.009870296357739897,0.0006107192271857022
CWE-64,2025,3.1301581821189516e-06,0.0,0.009870296357739897,3.1301581821189516e-06
CWE-73,2025,0.020925477894714103,0.03275897982312299,0.033398127418448935,0.020925477894714103
CWE-74,2025,0.006918606684488608,0.009881137886378974,0.01799486866670971,0.006918606684488608
CWE-77,2025,0.029587168566388596,0.0512536674413222,0.041253469387285795,0.029587168566388596
CWE-78,2025,0.019209334271740732,0.06559149969686107,0.041260260608146526,0.019209334271740732
CWE-79,2025,0.04601049030804022,0.05316249360643711,0.05501670960236093,0.04601049030804022
CWE-80,2025,0.0020880384915063434,0.004398268889746019,0.009870296357739897,0.0020880384915063434
CWE-84,2025,-0.0,0.0,0.009870296357739897,-0.0
CWE-88,2025,0.0012626727887682409,0.007686785599180513,0.009870296357739897,0.0012626727887682409
CWE-89,2025,0.01315559408298408,0.023105450497465544,0.037178913805420905,0.01315559408298408
CWE-90,2025,0.0002464407450322719,0.006652505585165771,0.009870296357739897,0.0002464407450322719
CWE-91,2025,0.000358835952551051,0.0012733272944868699,0.009870296357739897,0.000358835952551051
CWE-93,2025,0.001151058705192592,0.0050615753139566354,0.009870296357739897,0.001151058705192592
CWE-94,2025,0.013585890727856955,0.027610446656318646,0.037178913805420905,0.013585890727856955
CWE-95,2025,0.0010534320406272097,0.0026166270875741114,0.009870296357739897,0.0010534320406272097
CWE-96,2025,-0.0,0.0002617290988870181,0.009870296357739897,-0.0
CWE-98,2025,0.0006641634438465402,0.0002759055661707863,0.009870296357739897,0.0006641634438465402
CWE-99,2025,0.0002719636677324157,0.0003385448005612474,0.009870296357739897,0.0002719636677324157
CWE-113,2025,0.0005556323773684774,0.0014885504414804704,0.009870296357739897,0.0005556323773684774
CWE-114,2025,0.0002306201200062493,0.0,0.009870296357739897,0.0002306201200062493
CWE-115,2025,0.0012860731172997933,0.0,0.009870296357739897,0.0012860731172997933
CWE-116,2025,0.003594789568006894,0.008407696213448761,0.009870296357739897,0.003594789568006894
CWE-117,2025,0.001567178709847545,0.001509498355412577,0.009870296357739897,0.001567178709847545
CWE-119,2025,0.19588617761756838,0.030963326796977813,0.15590138549207164,0.19588617761756838
CWE-120,2025,0.2457077774683524,0.22811210495415138,0.27231663509450527,0.2457077774683524
CWE-121,2025,0.07296368751207753,0.28409649280412624,0.0664556673143759,0.07296368751207753
CWE-122,2025,0.03969589201093194,0.10358168771163011,0.04351452393385001,0.03969589201093194
CWE-124,2025,0.00433048784947203,0.0039392584203921735,0.010508296494055129,0.00433048784947203
CWE-125,2025,0.2907615956214533,0.24310637465713145,0.3030537175647163,0.2907615956214533
CWE-126,2025,0.23402479917516478,0.24096915957040937,0.17327348387171615,0.23402479917516478
CWE-129,2025,0.22633601594435135,0.08128774801491062,0.16225184639109902,0.22633601594435135
CWE-130,2025,0.002250160658981831,0.002667630888899762,0.009870296357739897,0.002250160658981831
CWE-131,2025,0.24250852224948966,0.025857009705644127,0.27209594851421776,0.24250852224948966
CWE-134,2025,0.0015443937368652258,0.016997008153138423,0.009870296357739897,0.0015443937368652258
CWE-140,2025,0.0010696140786018854,4.8597287982470806e-05,0.009870296357739897,0.0010696140786018854
CWE-150,2025,0.00029787363252505814,0.0011267819334850522,0.009870296357739897,0.00029787363252505814
CWE-155,2025,2.9343184667327118e-05,0.0,0.009870296357739897,2.9343184667327118e-05
CWE-156,2025,0.0001134563337082565,0.0,0.009870296357739897,0.0001134563337082565
CWE-158,2025,0.002165633795653995,0.000859668452525518,0.009870296357739897,0.002165633795653995
CWE-178,2025,0.00015794182712180804,0.0051966167019991865,0.009870296357739897,0.00015794182712180804
CWE-184,2025,0.0008384707554140252,0.0037425598025045206,0.009870296357739897,0.0008384707554140252
CWE-190,2025,0.156233767860565,0.24351438541957018,0.1478194623822322,0.156233767860565
CWE-191,2025,0.01609219275350504,0.14686564944417269,0.0230475281991344,0.01609219275350504
CWE-193,2025,0.002278325763499526,0.023427237312945676,0.009870296357739897,0.002278325763499526
CWE-200,2025,0.21447876184899908,0.18914516409679008,0.157152992174861,0.21447876184899908
CWE-201,2025,0.014974947812846985,0.01675665702663129,0.022526143293278168,0.014974947812846985
CWE-202,2025,6.438255735575064e-05,6.534554094831111e-05,0.009870296357739897,6.438255735575064e-05
CWE-203,2025,0.004542154156929973,0.011548965482304958,0.02071452056203775,0.004542154156929973
CWE-204,2025,0.0010961034529022575,0.0036435743048154365,0.009870296357739897,0.0010961034529022575
CWE-208,2025,0.0007051214713753131,0.007020963341669557,0.009870296357739897,0.0007051214713753131
CWE-209,2025,0.013035813816902348,0.013128120763029324,0.037178913805420905,0.013035813816902348
CWE-212,2025,0.002210973123307737,0.018928567752758516,0.009870296357739897,0.002210973123307737
CWE-226,2025,0.00013528526874291444,0.000531821846967965,0.009870296357739897,0.00013528526874291444
CWE-241,2025,8.460966570435618e-07,0.0,0.009870296357739897,8.460966570435618e-07
CWE-244,2025,0.0003082086949506829,0.0008248378735349303,0.009870296357739897,0.0003082086949506829
CWE-248,2025,0.0032487405513647303,0.0051459772018305075,0.009870296357739897,0.0032487405513647303
CWE-250,2025,0.0018045479279043474,0.015781021969170493,0.009870296357739897,0.0018045479279043474
CWE-252,2025,0.0034621614054869583,0.006223480373798403,0.009870296357739897,0.0034621614054869583
CWE-255,2025,0.00024779006515607526,0.0,0.009870296357739897,0.00024779006515607526
CWE-256,2025,0.0007038332817451656,0.0006977160704597745,0.009870296357739897,0.0007038332817451656
CWE-257,2025,0.0006082353997163542,0.008727845500717656,0.009870296357739897,0.0006082353997163542
