source,target,weight,source_x,source_y,target_x,target_y
CWE-19,CWE-264,160.0,-0.02230023592710495,-0.008882191963493824,0.022591320797801018,0.004412608686834574
CWE-19,CWE-119,213.0,-0.02230023592710495,-0.008882191963493824,0.018370850011706352,-0.027967318892478943
CWE-19,CWE-20,229.0,-0.02230023592710495,-0.008882191963493824,0.013655856251716614,-0.010220822878181934
CWE-20,CWE-21,1.0,0.013655856251716614,-0.010220822878181934,0.045727092772722244,-0.4582710564136505
CWE-20,CWE-367,2263.0,0.013655856251716614,-0.010220822878181934,0.004442186560481787,-0.030461175367236137
CWE-20,CWE-197,45.0,0.013655856251716614,-0.010220822878181934,0.08125896751880646,-0.09047897905111313
CWE-20,CWE-187,14.0,0.013655856251716614,-0.010220822878181934,0.1538381725549698,-0.09912794828414917
CWE-20,CWE-770,519.0,0.013655856251716614,-0.010220822878181934,0.01887659914791584,-0.008485198952257633
CWE-20,CWE-281,196.0,0.013655856251716614,-0.010220822878181934,-0.03209889680147171,-0.048279769718647
CWE-20,CWE-669,23.0,0.013655856251716614,-0.010220822878181934,-0.07218550145626068,-0.08776475489139557
CWE-20,CWE-86,4.0,0.013655856251716614,-0.010220822878181934,0.05480518564581871,-0.3455011546611786
CWE-20,CWE-426,129.0,0.013655856251716614,-0.010220822878181934,0.06921835243701935,-0.020823508501052856
CWE-20,CWE-295,851.0,0.013655856251716614,-0.010220822878181934,-0.009991549886763096,0.008003872819244862
CWE-20,CWE-284,743.0,0.013655856251716614,-0.010220822878181934,-0.009231174364686012,-0.011757888831198215
CWE-20,CWE-1021,112.0,0.013655856251716614,-0.010220822878181934,0.06055597960948944,0.004583624191582203
CWE-20,CWE-59,709.0,0.013655856251716614,-0.010220822878181934,0.042759016156196594,-0.010494619607925415
CWE-20,CWE-79,2308.0,0.013655856251716614,-0.010220822878181934,0.0017418835777789354,0.038216229528188705
CWE-20,CWE-1284,372.0,0.013655856251716614,-0.010220822878181934,0.051209576427936554,-0.04224696010351181
CWE-20,CWE-391,2.0,0.013655856251716614,-0.010220822878181934,0.09087325632572174,0.3210875689983368
CWE-20,CWE-841,15.0,0.013655856251716614,-0.010220822878181934,0.15479931235313416,0.0227871835231781
CWE-20,CWE-353,19.0,0.013655856251716614,-0.010220822878181934,-0.0918911024928093,-0.10272646695375443
CWE-20,CWE-330,269.0,0.013655856251716614,-0.010220822878181934,-0.020030427724123,-0.047694627195596695
CWE-20,CWE-23,42.0,0.013655856251716614,-0.010220822878181934,-0.07785651087760925,0.0314563624560833
CWE-20,CWE-199,9.0,0.013655856251716614,-0.010220822878181934,-0.009621407836675644,-0.185481995344162
CWE-20,CWE-173,1.0,0.013655856251716614,-0.010220822878181934,0.5219359397888184,0.08493603020906448
CWE-20,CWE-320,95.0,0.013655856251716614,-0.010220822878181934,0.0753493383526802,-0.032741427421569824
CWE-20,CWE-755,649.0,0.013655856251716614,-0.010220822878181934,0.02296941913664341,-0.06589153409004211
CWE-20,CWE-294,91.0,0.013655856251716614,-0.010220822878181934,0.04208436980843544,0.03547964245080948
CWE-20,CWE-444,107.0,0.013655856251716614,-0.010220822878181934,0.07094815373420715,0.0026893659960478544
CWE-20,CWE-123,13.0,0.013655856251716614,-0.010220822878181934,-0.028721319511532784,-0.18186317384243011
CWE-20,CWE-88,75.0,0.013655856251716614,-0.010220822878181934,-0.07136952131986618,0.015091040171682835
CWE-20,CWE-428,43.0,0.013655856251716614,-0.010220822878181934,0.05543689802289009,0.10267236083745956
CWE-20,CWE-297,11.0,0.013655856251716614,-0.010220822878181934,0.1657181680202484,0.04847067594528198
CWE-20,CWE-113,18.0,0.013655856251716614,-0.010220822878181934,-0.11188902705907822,0.028238220140337944
CWE-20,CWE-273,23.0,0.013655856251716614,-0.010220822878181934,0.11779096722602844,-0.09809568524360657
CWE-20,CWE-248,25.0,0.013655856251716614,-0.010220822878181934,0.09226182103157043,-0.11098392307758331
CWE-20,CWE-91,41.0,0.013655856251716614,-0.010220822878181934,0.03289328143000603,0.09982945024967194
CWE-20,CWE-212,428.0,0.013655856251716614,-0.010220822878181934,0.03285709023475647,-0.02019638940691948
CWE-20,CWE-22,1152.0,0.013655856251716614,-0.010220822878181934,-0.001189596951007843,0.03682870417833328
CWE-20,CWE-369,561.0,0.013655856251716614,-0.010220822878181934,0.006582038942724466,-0.04316810518503189
CWE-20,CWE-829,62.0,0.013655856251716614,-0.010220822878181934,-0.005610831081867218,0.08756152540445328
CWE-20,CWE-783,7.0,0.013655856251716614,-0.010220822878181934,-0.14520752429962158,-0.17489440739154816
CWE-20,CWE-522,369.0,0.013655856251716614,-0.010220822878181934,-0.021644705906510353,0.00901167094707489
CWE-20,CWE-703,16.0,0.013655856251716614,-0.010220822878181934,-0.1031506136059761,0.03728688135743141
CWE-20,CWE-345,508.0,0.013655856251716614,-0.010220822878181934,-0.004358022939413786,-0.005020817741751671
CWE-20,CWE-459,380.0,0.013655856251716614,-0.010220822878181934,0.04541690647602081,-0.026385243982076645
CWE-20,CWE-176,7.0,0.013655856251716614,-0.010220822878181934,0.21349860727787018,0.14952071011066437
CWE-20,CWE-141,39.0,0.013655856251716614,-0.010220822878181934,0.012351511977612972,0.11101832985877991
CWE-20,CWE-310,447.0,0.013655856251716614,-0.010220822878181934,0.029951808974146843,-0.004984795581549406
CWE-20,CWE-125,4258.0,0.013655856251716614,-0.010220822878181934,0.017900768667459488,-0.03875621780753136
CWE-20,CWE-924,14.0,0.013655856251716614,-0.010220822878181934,0.1612219214439392,-0.003008723957464099
CWE-20,CWE-285,154.0,0.013655856251716614,-0.010220822878181934,-0.046891193836927414,0.008127530105412006
CWE-20,CWE-275,26.0,0.013655856251716614,-0.010220822878181934,-0.11444418877363205,0.0013461115304380655
CWE-20,CWE-354,69.0,0.013655856251716614,-0.010220822878181934,-0.04935147613286972,-0.006182657089084387
CWE-20,CWE-66,1.0,0.013655856251716614,-0.010220822878181934,0.35720905661582947,0.493529349565506
CWE-20,CWE-611,226.0,0.013655856251716614,-0.010220822878181934,0.024818701669573784,0.047115977853536606
CWE-20,CWE-200,2563.0,0.013655856251716614,-0.010220822878181934,0.010003194212913513,0.0025022828485816717
CWE-20,CWE-174,1.0,0.013655856251716614,-0.010220822878181934,-0.47526416182518005,-0.08035188168287277
CWE-20,CWE-321,261.0,0.013655856251716614,-0.010220822878181934,-0.02954750321805477,0.03298931196331978
CWE-20,CWE-358,31.0,0.013655856251716614,-0.010220822878181934,0.07049589604139328,0.07774179428815842
CWE-20,CWE-190,2916.0,0.013655856251716614,-0.010220822878181934,0.02146238461136818,-0.04406428337097168
CWE-20,CWE-158,26.0,0.013655856251716614,-0.010220822878181934,-0.11965882033109665,-0.008243951946496964
CWE-20,CWE-705,1.0,0.013655856251716614,-0.010220822878181934,0.34867140650749207,0.45857515931129456
CWE-20,CWE-178,27.0,0.013655856251716614,-0.010220822878181934,-0.12951764464378357,-0.07161202281713486
CWE-20,CWE-691,7.0,0.013655856251716614,-0.010220822878181934,0.02281736023724079,-0.27659597992897034
CWE-20,CWE-312,328.0,0.013655856251716614,-0.010220822878181934,-0.013835513032972813,0.017559358850121498
CWE-20,CWE-127,2.0,0.013655856251716614,-0.010220822878181934,0.32294273376464844,-0.099683478474617
CWE-20,CWE-926,3.0,0.013655856251716614,-0.010220822878181934,0.05116410553455353,0.28270071744918823
CWE-20,CWE-287,2412.0,0.013655856251716614,-0.010220822878181934,0.006433926522731781,-0.011438039131462574
CWE-20,CWE-92,1.0,0.013655856251716614,-0.010220822878181934,-0.656313955783844,0.13276898860931396
CWE-20,CWE-434,248.0,0.013655856251716614,-0.010220822878181934,-0.010650712065398693,0.05606949329376221
CWE-20,CWE-264,1108.0,0.013655856251716614,-0.010220822878181934,0.022591320797801018,0.004412608686834574
CWE-20,CWE-406,3.0,0.013655856251716614,-0.010220822878181934,-0.22442710399627686,0.12358306348323822
CWE-20,CWE-610,58.0,0.013655856251716614,-0.010220822878181934,-0.0684797391295433,-0.02452094852924347
CWE-20,CWE-254,190.0,0.013655856251716614,-0.010220822878181934,-0.013651248067617416,-0.02035387232899666
CWE-20,CWE-357,20.0,0.013655856251716614,-0.010220822878181934,-0.08807486295700073,-0.11568216979503632
CWE-20,CWE-807,29.0,0.013655856251716614,-0.010220822878181934,-0.12832477688789368,0.006315407808870077
