vendor,pca_x,pca_y,archetype_cluster,archetype_label,total_cves,share_CWE-79,share_CWE-89,share_CWE-787,share_CWE-119,share_CWE-20,share_CWE-22,share_CWE-352,share_CWE-125,share_CWE-862,share_CWE-200,share_CWE-416,share_CWE-78,share_CWE-476,share_CWE-264,share_CWE-94,share_CWE-284,share_CWE-287,share_CWE-434,share_CWE-120,share_CWE-74,share_Other
aimstack,0.905901545979375,0.5430974510851377,0,Diffuse (no dominant category),23,0.19047619047619047,0.0,0.0,0.0,0.0,0.19047619047619047,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
aiohttp,-0.7234362996722972,1.5490897920031637,0,Diffuse (no dominant category),44,0.024390243902439025,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8780487804878049
airspan,0.314089291895214,1.6897255133444067,0,Diffuse (no dominant category),21,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.5
ajaysharma,1.8732591393876645,-1.3516230069485244,1,Web-injection-heavy,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aladdin,-0.18643015214027112,1.3313677913902722,0,Diffuse (no dominant category),24,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alcatel-lucent,0.6418023585205705,0.2337053394954328,0,Diffuse (no dominant category),25,0.25,0.0,0.0,0.125,0.0625,0.0625,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125
alienvault,1.410406233070405,0.45248034390295366,1,Web-injection-heavy,36,0.17647058823529413,0.23529411764705882,0.0,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.058823529411764705,0.20588235294117646,0.029411764705882353,0.029411764705882353,0.0,0.0,0.029411764705882353,0.058823529411764705
alkacon,1.7274089277764324,-0.820723354309531,1,Web-injection-heavy,36,0.7666666666666667,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
allaire,0.07624105747480157,-0.379437371672909,0,Diffuse (no dominant category),24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alltena,1.4528407557900416,1.5689046673382823,0,Diffuse (no dominant category),21,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105
alstrasoft,0.9436748419762582,-0.8181236036992328,1,Web-injection-heavy,56,0.07142857142857142,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
alt-n,-0.6175770745850719,-0.0040191551294707145,0,Diffuse (no dominant category),40,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
altn,1.480312492588338,-1.1104686655439366,1,Web-injection-heavy,25,0.6,0.0,0.0,0.04,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12
amazon,-0.693790018668215,1.2183781522776251,0,Diffuse (no dominant category),198,0.044444444444444446,0.016666666666666666,0.022222222222222223,0.011111111111111112,0.027777777777777776,0.03333333333333333,0.0,0.03333333333333333,0.011111111111111112,0.05,0.011111111111111112,0.06666666666666667,0.005555555555555556,0.005555555555555556,0.022222222222222223,0.005555555555555556,0.011111111111111112,0.0,0.011111111111111112,0.0,0.6111111111111112
amd,-1.871640889369304,0.07370085959013815,2,Memory-safety-heavy,288,0.0,0.0,0.15979381443298968,0.05670103092783505,0.17010309278350516,0.0,0.0,0.09278350515463918,0.005154639175257732,0.02577319587628866,0.010309278350515464,0.0,0.0,0.005154639175257732,0.0,0.0,0.0,0.0,0.010309278350515464,0.005154639175257732,0.4587628865979381
ami,-1.2538162438029148,0.5290301646581445,0,Diffuse (no dominant category),62,0.0,0.0,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.3888888888888889
ampache,2.0506968882902523,-0.6247167629459531,1,Web-injection-heavy,25,0.391304347826087,0.13043478260869565,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.08695652173913043
andsoft,1.5151873031554766,-0.5527046452026005,1,Web-injection-heavy,40,0.725,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
angeljudesuarez,1.8497689700222055,-1.7397317360433098,1,Web-injection-heavy,211,0.05263157894736842,0.6889952153110048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014354066985645933,0.0,0.03827751196172249,0.0,0.20574162679425836,0.0
angular,0.8693456394804814,0.25988926617790087,1,Web-injection-heavy,29,0.5517241379310345,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069
anisha,2.043937477637469,-1.7489012645936397,1,Web-injection-heavy,140,0.1357142857142857,0.44285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.014285714285714285,0.0,0.37857142857142856,0.0
answer,0.8501422043661934,-0.1821035954035856,1,Web-injection-heavy,34,0.5161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483870967744
ansys,-3.3553669416259133,-2.2639258850533985,2,Memory-safety-heavy,21,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808
