cwe_id,x,y,raw_frequency,centrality,degree,is_isolated
CWE-1,0.2341279238462448,0.43183037638664246,2,0.0001103143679637217,5,False
CWE-5,0.19702944159507751,0.19916316866874695,2,6.05676832038656e-05,5,False
CWE-14,-0.4463668465614319,-0.17486298084259033,2,1.032630617427289e-05,5,False
CWE-15,-0.13214057683944702,0.11393049359321594,57,0.0003892307791179113,5,False
CWE-16,0.06646277010440826,0.01199296023696661,259,0.005971698739309987,5,False
CWE-17,0.07588347792625427,-0.004388046450912952,165,0.006146514794032627,5,False
CWE-18,0.07769551873207092,-0.19726243615150452,6,0.000589177513565585,5,False
CWE-19,-0.02230023592710495,-0.008882191963493824,223,0.01253458738319527,5,False
CWE-20,0.013655856251716614,-0.010220822878181934,11188,0.2888769109398773,151,False
CWE-21,0.045727092772722244,-0.4582710564136505,3,1.215036661236546e-05,5,False
CWE-22,-0.001189596951007843,0.03682870417833328,9948,0.06927172045612706,127,False
CWE-23,-0.07785651087760925,0.0314563624560833,259,0.003849044927427645,7,False
CWE-24,0.15922583639621735,0.08603101968765259,60,0.0003078556980389343,6,False
CWE-25,,,4,0.0,0,True
CWE-26,0.20362332463264465,-0.2450425773859024,9,4.814787509724025e-05,6,False
CWE-27,0.38603663444519043,-0.0880657434463501,10,6.035685924334683e-05,6,False
CWE-28,-0.4173148572444916,-0.19189243018627167,1,8.781571361021424e-06,5,False
CWE-29,-0.006786779500544071,0.1952693909406662,43,0.0002098887125589382,5,False
CWE-31,0.1667279452085495,0.2680392861366272,6,0.0001652102398224247,5,False
CWE-32,,,1,0.0,0,True
CWE-35,-0.11064266413450241,-0.029551636427640915,136,0.0009728091574322677,6,False
CWE-36,-0.12021876871585846,0.09252014756202698,91,0.001591253454120395,7,False
CWE-37,,,1,0.0,0,True
CWE-38,,,1,0.0,0,True
CWE-40,,,1,0.0,0,True
CWE-41,-0.09758569300174713,0.021439166739583015,17,0.002862821283779018,5,False
CWE-42,-0.4431610703468323,0.24633002281188965,1,1.409106509958212e-05,5,False
CWE-43,,,1,0.0,0,True
CWE-46,-0.4998425543308258,0.052876587957143784,1,1.156560944115914e-05,5,False
CWE-50,,,1,0.0,0,True
CWE-57,,,1,0.0,0,True
CWE-59,0.042759016156196594,-0.010494619607925415,1548,0.03348358620540826,18,False
CWE-61,0.1409466713666916,0.15883280336856842,93,0.0007173726541786442,10,False
CWE-64,0.9005821347236633,-0.06559154391288757,6,8.078712014746278e-07,1,False
CWE-65,,,1,0.0,0,True
CWE-66,0.35720905661582947,0.493529349565506,1,9.766489708565748e-06,3,False
CWE-67,-0.23371243476867676,0.5307611227035522,5,4.453858176746367e-06,3,False
CWE-69,-0.42329591512680054,0.2414698451757431,2,5.709803438810305e-06,5,False
CWE-73,-0.05950723960995674,0.006641955114901066,388,0.006294377609004425,14,False
CWE-74,0.007661097217351198,0.036121878772974014,3424,0.02445351388765381,18,False
CWE-75,0.24774916470050812,0.11383623629808426,18,0.0001071914635644038,5,False
CWE-76,-0.3266562223434448,0.24919340014457703,8,4.479222403677517e-05,5,False
CWE-77,-0.006357021164149046,0.01131310686469078,3072,0.03652096327225717,30,False
CWE-78,-0.025486763566732407,0.012438386678695679,5983,0.05051945371054423,51,False
CWE-79,0.0017418835777789354,0.038216229528188705,46784,0.0975966012103803,220,False
CWE-80,0.09519848972558975,0.11951696872711182,246,0.001485762392943995,11,False
CWE-81,0.38668620586395264,0.4348281919956207,3,4.605076758354244e-07,3,False
CWE-82,,,2,0.0,0,True
CWE-83,0.293936550617218,-0.04254996031522751,12,0.0001702803777585578,6,False
CWE-84,,,13,0.0,0,True
CWE-85,,,1,0.0,0,True
CWE-86,0.05480518564581871,-0.3455011546611786,6,3.853468448916848e-05,5,False
CWE-87,0.19055677950382233,0.22261925041675568,15,0.000107924819054651,5,False
CWE-88,-0.07136952131986618,0.015091040171682835,385,0.006342528212254166,8,False
CWE-89,-0.00555427884683013,0.05527329444885254,18642,0.03488809068474531,50,False
CWE-90,0.10086046159267426,0.0804239884018898,67,0.001941564117367437,7,False
CWE-91,0.03289328143000603,0.09982945024967194,130,0.002120987677228707,5,False
CWE-92,-0.656313955783844,0.13276898860931396,11,1.353825960862958e-05,2,False
CWE-93,0.06010407209396362,0.11013355851173401,191,0.002056991922416563,6,False
CWE-94,0.016311705112457275,0.03439301252365112,5107,0.03541140120403644,38,False
CWE-95,-0.14301614463329315,0.09167348593473434,86,0.0004792045447794684,6,False
CWE-96,-0.21672064065933228,-0.2710069417953491,12,0.0001664238193961585,5,False
CWE-97,-0.33180758357048035,0.3334381878376007,7,1.041713467651114e-05,5,False
CWE-98,-0.12648266553878784,0.07649646699428558,1206,0.0001992001493738584,6,False
CWE-99,0.22606948018074036,0.22085659205913544,33,8.309669610377437e-05,6,False
CWE-112,0.027165068313479424,0.4564647078514099,4,1.428176627940164e-05,5,False
CWE-113,-0.11188902705907822,0.028238220140337944,64,0.001167167560503637,7,False
CWE-114,-0.23912493884563446,0.013842671178281307,10,0.0002930640511748566,7,False
CWE-115,0.18098267912864685,-0.06518267840147018,16,0.0004458367046230308,6,False
CWE-116,-0.01807232014834881,0.02125776745378971,349,0.011071172538054,11,False
CWE-117,-0.16495096683502197,-0.08664260059595108,68,0.0005145283341533994,6,False
CWE-118,0.03132905811071396,-0.11091423779726028,16,0.003351307709357137,5,False
CWE-119,0.018370850011706352,-0.027967318892478943,13160,0.2722391239983747,57,False
CWE-120,0.012633265927433968,-0.03706148639321327,3572,0.2839337365615925,55,False
CWE-121,-0.006879092194139957,-0.060781244188547134,1590,0.0385367951875001,35,False
CWE-122,0.05135180428624153,-0.07854577898979187,1661,0.02124586737560272,31,False
CWE-123,-0.028721319511532784,-0.18186317384243011,31,0.001095069397706185,5,False
CWE-124,0.052528299391269684,-0.17508937418460846,27,0.001284266103524437,5,False
CWE-125,0.017900768667459488,-0.03875621780753136,9095,0.3214861419328342,140,False
CWE-126,0.008621490560472012,-0.06201454997062683,203,0.06474146638647246,15,False
CWE-127,0.32294273376464844,-0.099683478474617,5,8.929183992094236e-05,5,False
CWE-128,0.14059044420719147,0.2913883328437805,2,0.00015809771347975,5,False
CWE-129,0.018058188259601593,-0.04643842205405235,545,0.1921771465197492,9,False
CWE-130,-0.05028710141777992,-0.21095901727676392,52,0.0006251131172089661,7,False
CWE-131,0.011254712007939816,-0.06465477496385574,149,0.0745851295203509,11,False
CWE-134,-0.026856640353798866,-0.02356676012277603,399,0.01312924776723145,8,False
CWE-138,-0.18116652965545654,-0.23203173279762268,7,0.0001568281119695009,5,False
CWE-140,0.04468659311532974,-0.27938568592071533,9,0.0001615654203177601,7,False
CWE-141,0.012351511977612972,0.11101832985877991,8,0.000492531256090852,5,False
CWE-142,,,2,0.0,0,True
CWE-144,0.5385280251502991,-0.15838423371315002,1,8.817753736590088e-06,5,False
CWE-145,,,1,0.0,0,True
CWE-146,0.21168571710586548,0.3200015127658844,6,4.251463825222237e-05,5,False
CWE-147,,,2,0.0,0,True
CWE-148,,,1,0.0,0,True
CWE-149,-0.31641340255737305,0.005554478615522385,4,8.913302638919641e-05,5,False
CWE-150,-0.24998252093791962,0.06691572815179825,48,0.0003034528833404404,7,False
CWE-153,0.2345137745141983,0.30339401960372925,4,3.40014028849967e-05,5,False
CWE-155,-0.2630493640899658,0.28952348232269287,12,1.121092947599304e-05,6,False
CWE-156,-0.34442993998527527,-0.010492715053260326,5,2.821205056370794e-05,5,False
CWE-158,-0.11965882033109665,-0.008243951946496964,15,0.0006270682937042945,6,False
CWE-159,0.44606813788414,-0.7639053463935852,4,3.04390890223543e-06,1,False
CWE-162,,,1,0.0,0,True
CWE-164,-0.5243034362792969,-0.8089748024940491,2,4.418760056978485e-08,1,False
CWE-166,0.09420482069253922,-0.5367664694786072,1,5.468612244903691e-05,5,False
CWE-167,0.1601800173521042,-0.5020462274551392,2,7.556010630998214e-05,5,False
CWE-168,,,1,0.0,0,True
CWE-170,-0.07272310554981232,-0.20230045914649963,15,0.0006209554912696048,7,False
CWE-172,0.22201785445213318,-0.12588286399841309,10,0.0002422269646501612,5,False
CWE-173,0.5219359397888184,0.08493603020906448,3,1.682412872024152e-05,6,False
CWE-174,-0.47526416182518005,-0.08035188168287277,1,9.00829676215839e-06,5,False
CWE-176,0.21349860727787018,0.14952071011066437,17,0.0002534704439312421,6,False
CWE-177,-0.25629541277885437,-0.026215635240077972,10,0.0001807109023105084,7,False
CWE-178,-0.12951764464378357,-0.07161202281713486,99,0.001831429720458897,8,False
CWE-179,-0.22075431048870087,-0.20673981308937073,3,0.0002754270494259773,6,False
CWE-180,-0.2998700737953186,-0.07401283085346222,22,8.187786690024267e-05,7,False
CWE-183,-0.0765962153673172,0.19251397252082825,31,0.0003114704951457499,6,False
CWE-184,-0.04337943717837334,0.13456769287586212,124,0.001398678878172892,6,False
CWE-185,-0.007244226522743702,-0.20432785153388977,28,0.000469254754134072,5,False
CWE-186,-0.44051438570022583,-0.268533319234848,1,1.19366079007626e-05,5,False
CWE-187,0.1538381725549698,-0.09912794828414917,10,0.00134950928785222,5,False
CWE-188,-0.3689407706260681,-0.2869471609592438,2,6.561082418737825e-05,5,False
CWE-189,0.03691590204834938,0.002064014319330454,1222,0.02282086199279895,6,False
CWE-190,0.02146238461136818,-0.04406428337097168,3105,0.2561022888983916,59,False
CWE-191,0.0315454937517643,-0.03849593922495842,426,0.08767818563959685,12,False
CWE-192,,,1,0.0,0,True
CWE-193,0.06549106538295746,-0.06289135664701462,204,0.01243309982780494,7,False
CWE-194,0.2880522608757019,0.10509335249662399,3,0.0001363151099666441,5,False
CWE-195,0.08766508102416992,-0.2868613302707672,11,0.0002738422686773691,6,False
CWE-196,,,3,0.0,0,True
CWE-197,0.08125896751880646,-0.09047897905111313,26,0.003938551445910824,5,False
CWE-198,-0.06322032958269119,-0.5556834936141968,1,7.056141664058127e-05,5,False
CWE-199,-0.009621407836675644,-0.185481995344162,6,0.0006788482718180502,5,False
CWE-200,0.010003194212913513,0.0025022828485816717,8819,0.1698161791541354,106,False
CWE-201,-0.04832526296377182,0.03720282390713692,311,0.004041458007504154,13,False
CWE-202,-0.0020113715436309576,0.31743162870407104,19,4.560890711252587e-05,5,False
CWE-203,0.026566874235868454,-0.014602893963456154,729,0.08010038830188447,18,False
CWE-204,0.04780703783035278,0.15262562036514282,124,0.0005992772303466251,7,False
CWE-207,,,1,0.0,0,True
CWE-208,0.17808547616004944,-0.02259613759815693,126,0.0008296040274120907,9,False
CWE-209,0.033389706164598465,0.06125031039118767,557,0.009563987870870795,17,False
CWE-212,0.03285709023475647,-0.02019638940691948,110,0.03487606946161741,6,False
CWE-213,0.05670783296227455,0.37291520833969116,11,4.86536253482367e-05,5,False
CWE-214,-0.06476020812988281,0.282869815826416,13,0.0001088185608712461,5,False
CWE-215,-0.14008097350597382,0.2585914433002472,14,0.0001154760386470125,5,False
CWE-216,0.6158374547958374,0.6423662900924683,1,2.354750296495402e-06,1,False
CWE-219,-0.3956414759159088,0.15214712917804718,3,8.025365442918856e-06,5,False
CWE-221,0.2125067412853241,-0.498116135597229,2,0.0001044237259919206,5,False
CWE-223,-0.6067618727684021,-0.2809489071369171,6,6.079996872294969e-05,5,False
